old_url,new_url,status,confidence
https://goracfit.com/,https://goracfit.com/,none,no redirect - the home page already serves at /
https://goracfit.com/about/,https://goracfit.com/about.html,301,clear
https://goracfit.com/our-team/,https://goracfit.com/about.html#team,301,clear
https://goracfit.com/our-journey/,https://goracfit.com/about.html#story,301,clear
https://goracfit.com/contact/,https://goracfit.com/contact.html,301,clear
https://goracfit.com/adult-tennis/,https://goracfit.com/adult-tennis.html,301,clear
https://goracfit.com/junior-tennis/,https://goracfit.com/junior-tennis.html,301,clear
https://goracfit.com/tennis-programs/,https://goracfit.com/tennis.html,301,clear
https://goracfit.com/homeschool-tennis/,https://goracfit.com/junior-tennis.html#levels,301,clear
https://goracfit.com/adult-pickleball/,https://goracfit.com/pickleball.html,301,clear
https://goracfit.com/junior-pickleball/,https://goracfit.com/pickleball.html,301,confirm
https://goracfit.com/pickleball-at-racfit/,https://goracfit.com/pickleball.html,301,clear
https://goracfit.com/fitness-programs/,https://goracfit.com/fitness.html,301,clear
https://goracfit.com/membership/,https://goracfit.com/membership.html,301,clear
https://goracfit.com/membership2/,https://goracfit.com/membership.html,301,clear
https://goracfit.com/membership-individual/,https://goracfit.com/membership.html#individual,301,clear
https://goracfit.com/membership-couples/,https://goracfit.com/membership.html#couples,301,clear
https://goracfit.com/membership-family/,https://goracfit.com/membership.html#family,301,clear
https://goracfit.com/summer-sports-camps/,https://goracfit.com/juniors.html#summer,301,clear
https://goracfit.com/sports-camps/,https://goracfit.com/juniors.html#camps,301,clear
https://goracfit.com/camp-session-one/,https://goracfit.com/juniors.html#camps,301,clear
https://goracfit.com/active-care/,https://goracfit.com/juniors.html#activecare,301,clear
https://goracfit.com/digital-sports/,https://goracfit.com/juniors.html#digital,301,clear
https://goracfit.com/birthday-parties/,https://goracfit.com/birthday-parties.html,301,clear
https://goracfit.com/corporate-events/,https://goracfit.com/corporate-events.html,301,clear
https://goracfit.com/virtual-tour/,https://goracfit.com/tour.html,301,clear
https://goracfit.com/virtual-hardhat-tour/,https://goracfit.com/tour.html,301,clear
https://goracfit.com/privacy-policy/,https://goracfit.com/privacy-policy.html,301,clear
https://goracfit.com/terms-conditions/,https://goracfit.com/terms-conditions.html,301,clear
https://goracfit.com/cancellation-policy/,https://goracfit.com/cancellation-policy.html,301,clear
https://goracfit.com/feedback/,https://goracfit.com/contact.html#form,301,clear
https://goracfit.com/membership-offering-feedback/,https://goracfit.com/contact.html#form,301,clear
https://goracfit.com/pickleball-survey/,https://goracfit.com/contact.html#form,301,confirm
https://goracfit.com/thank-you/,https://goracfit.com/index.html,301,confirm
https://goracfit.com/programs/,https://goracfit.com/index.html#programs,301,confirm
https://goracfit.com/priority-access/,https://goracfit.com/membership.html,301,confirm
https://goracfit.com/heros-rate/,https://goracfit.com/membership.html,301,confirm
https://goracfit.com/membership-individual-heroes-rate/,https://goracfit.com/membership.html#individual,301,confirm
https://goracfit.com/membership-couples-heroes-rate/,https://goracfit.com/membership.html#couples,301,confirm
https://goracfit.com/membership-family-heroes-rate/,https://goracfit.com/membership.html#family,301,confirm
https://goracfit.com/harvestmeadows/,https://goracfit.com/corporate-memberships.html,301,confirm
https://goracfit.com/the-aidan/,https://goracfit.com/corporate-memberships.html,301,confirm
